PRODUCT_PHR,Fault_Category,Part_Category
TC72,TRIGGER,HOUSING + TP + DISPLAY
TC77,COMMUNICATION,MINOR COMPONENT
TC77,DISPLAY,MAIN BOARD
TC77,OTHER,CAMERA
TC53,DAMAGE,COVER
TC52/57 Mufasa,OTHER,CONNECTOR
TC77,BATTERY,CONNECTOR
TC52 Aslan,BATTERY,CONNECTOR
TC52 Aslan,SCANNER,MINOR COMPONENT
TC52/57 Lightning,OTHER,DISPLAY + TP
TC52/57 Mufasa,MEMORY,MAIN BOARD
TC52/57 Lightning,WEAR & TEAR,MINOR COMPONENT
TC73/78,SCANNER,HOUSING
TC73/78,SCANNER,SCAN ENGINE ASSEMBLY
TC53,DISPLAY,DISPLAY + TP
TC52 Aslan,DAMAGE,TRIGGER
TC52 Aslan,AUDIO,RECEIVER
TC52/57 Mufasa,OTHER,DISPLAY + TP
TC72,DISPLAY,HOUSING + TP + DISPLAY
TC77,SCANNER,MAIN BOARD
TC77,SCANNER,IO BOARD
TC73/78,WEAR & TEAR,KEY BUTTON
ET40/45,CAMERA,CAMERA
ET40/45,DAMAGE,DISPLAY + TP
ET40/45,DAMAGE,HOUSING
ET40/45,TRIGGER,BUTTON CAP
ET80/85,BATTERY,BATTERY
ET80/85,DAMAGE,DOOR
ET80/85,WEAR & TEAR,DISPLAY + TP
ET80/85,WEAR & TEAR,ADHESIVE
L10 Windows,SOFTWARE,SOFTWARE
TC53,DAMAGE,BRACKET
TC52/57 Mufasa,DAMAGE,COVER
TC52/57 Mufasa,DAMAGE,SOFTWARE
TC52/57 Lightning,SENSOR,SCREEN GUARD
TC52/57 Lightning,AUDIO,SCAN ENGINE ASSEMBLY
TC73/78,COMMUNICATION,MAIN BOARD
TC73/78,DAMAGE,SCAN ENGINE ASSEMBLY
TC73/78,DAMAGE,BEZEL
TC73/78,DAMAGE,HOUSING
TC73/78,POWER,MAIN BOARD
TC73/78,WEAR & TEAR,DOOR
TC73/78,WEAR & TEAR,MINOR COMPONENT
TC73/78,DAMAGE,MAIN BOARD
ET40/45,LOCKUP,MAIN BOARD
ET40/45,WEAR & TEAR,DISPLAY + TP
ET40/45,WEAR & TEAR,BUTTON CAP
ET40/45,WEAR & TEAR,RUBBER
ET40/45,WEAR & TEAR,GASKET
ET40/45,WEAR & TEAR,COVER
L10 Windows,DAMAGE,CONNECTOR
L10 Windows,MEMORY,HARD DISK
L10 Windows,WEAR & TEAR,HOUSING
L10 Windows,WEAR & TEAR,MINOR COMPONENT
L10 Windows,FF/DCN,HOUSING + TP + DISPLAY
L10 Windows,POWER,CONNECTOR
L10 Windows,POWER,FLEX STRIP
L10 Windows,WEAR & TEAR,CONNECTOR
L10 Windows,WEAR & TEAR,CABLE
L10 Windows,WEAR & TEAR,DOOR
TC77,ACCESSORIES,DOOR
MC3300AX,COMMUNICATION,ANTENNA
TC52/57 Lightning,POWER,ANTENNA
TC52/57 Lightning,SOFTWARE,SCAN ENGINE ASSEMBLY
TC58,DAMAGE,SCAN ENGINE
TC58,FF/DCN,MINOR COMPONENT
L10 Android,COMMUNICATION,MAIN BOARD
L10 Android,COMMUNICATION,MINOR COMPONENT
L10 Android,WEAR & TEAR,MINOR COMPONENT
L10 Android,POWER,MINOR COMPONENT
MC3300AX,DAMAGE,HOUSING + TP
TC52/57 Lightning,TRIGGER,TRIGGER
TC77,CAMERA,CAMERA
TC52/57 Lightning,COMMUNICATION,END CAP
TC52/57 Mufasa,SCANNER,EXIT WINDOW
TC53,MEMORY,MAIN BOARD
TC52/57 Mufasa,FF/DCN,MAIN BOARD
L10 Android,FF/DCN,HOUSING + TP + DISPLAY
L10 Android,COMMUNICATION,HOUSING + TP + DISPLAY
TC53,FF/DCN,MINOR COMPONENT
TC52/57 Mufasa,SOFTWARE,CAMERA MODULE
WT63,COMMUNICATION,SOFTWARE
TC52 Aslan,CRADLE,CONNECTOR
TC77,TRIGGER,HOUSING + TP + DISPLAY
TC52/57 Lightning,DAMAGE,SHIELD
TC52/57 Lightning,WEAR & TEAR,SPEAKER
TC52/57 Lightning,WEAR & TEAR,RECEIVER
TC72,CAMERA,CAMERA
TC72,SCANNER,SCAN ENGINE
TC77,CRADLE,HOUSING + TP + DISPLAY
TC77,OTHER,KEY BUTTON
VC83,OTHER,SCRAP
VC83,WEAR & TEAR,REAR HOUSING
VC83,WEAR & TEAR,FRAME
VC83,DAMAGE,KEYBOARD
MC93,DAMAGE,ADHESIVE
MC93,DISPLAY,MINOR COMPONENT
MC93,SOFTWARE,FLEX STRIP
MC93,COMMUNICATION,ANTENNA
MC93,DAMAGE,FOIL
TC52/57 Lightning,DAMAGE,GRILL
TC53,SCANNER,CONNECTOR
TC58,COMMUNICATION,MAIN BOARD
TC58,SENSOR,FLEX STRIP
L10 Android,AUDIO,CASE
L10 Android,FF/DCN,MAIN BOARD
L10 Android,FF/DCN,MINOR COMPONENT
L10 Android,SOFTWARE,SOFTWARE
MC93,WEAR & TEAR,SPONGE
TC21/26,AUDIO,BAFFLE
TC53,DAMAGE,CONNECTOR
TC72,FF/DCN,ANTENNA
TC72,TRIGGER,REAR HOUSING
TC52/57 Mufasa,,MAIN BOARD
TC77,DAMAGE,POWER BUTTON ASSEMBLY
MC93,DAMAGE,ANTENNA
TC52 Aslan,COMMUNICATION,TOP COVER
L10 Android,DISPLAY,MAIN BOARD
TC52/57 Mufasa,KEYBOARD,KEY SWITCH
TC52/57 Mufasa,CRADLE,SCAN ENGINE ASSEMBLY
RS51,COMMUNICATION,SOFTWARE
MC93,OTHER,KEYPAD
L10 Windows,CRADLE,CABLE
L10 Windows,CRADLE,CONNECTOR
L10 Windows,WEAR & TEAR,HARD DISK
VC83,WEAR & TEAR,OVERLAY
TC52/57 Lightning,DAMAGE,CAMERA
TC58,AUDIO,DISPLAY + TP
L10 Windows,DAMAGE,MAIN BOARD
TC52/57 Mufasa,CABLE,CAMERA MODULE
TC72,WEAR & TEAR,LABEL
TC73/78,DISPLAY,MINOR COMPONENT
TC73/78,OTHER,DISPLAY + TP
RS51,OTHER,SCRAP
RS51,POWER,SCAN ENGINE
RS51,SCANNER,SCAN ENGINE
TC73/78,WEAR & TEAR,DISPLAY + TP
L10 Windows,COMMUNICATION,CONNECTOR
L10 Windows,COMMUNICATION,FLEX STRIP
L10 Windows,WEAR & TEAR,HOUSING + TP + DISPLAY
MC93,COMMUNICATION,KEYPAD
TC52/57 Lightning,CAMERA,CONNECTOR
TC52/57 Lightning,WEAR & TEAR,COVER
TC52/57 Mufasa,WEAR & TEAR,DOOR
TC22/27,OTHER,DISPLAY + TP
TC22/27,POWER,MAIN BOARD
TC52/57 Lightning,ACCESSORIES,SHIELD
TC52/57 Lightning,WEAR & TEAR,PROTECTOR
